"Student","Class","Method","IssueType","Severity","Details"
"escaipe-room-beta-and-final-team-31","Room3Controller","initialize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-31","StartMenuController","startGameSetting","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-31","MainGameController","getTimeLimit","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-31","MainGameController","setHintCount","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-31","Character","assignSpriteSheet","Switch Complexity","LOW","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: FACTORY_PATTERN"
"escaipe-room-beta-and-final-team-31","Room1Controller","initialize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-31","Room2Controller","initialize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-30","Hints","updateHintsCount","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-30","Hints","hintsAllowed","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-30","Hints","getKeyHint","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-30","ChatController","updateBackground","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-30","MazePuzzleManager","updateCellImage","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-30","GptPromptEngineering","getPuzzleDescription","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 6 total cases, avg 6.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-33","EscapeRoomController","generateQuestion","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-33","EscapeRoomController","checkAnswer","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-33","EscapeRoomController","chargeBattery","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-11","FoodRecipe","ingredientToString","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 18 total cases, avg 18.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","BottomRightButton","cycle","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","LaunchController","changeDiff","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","LaunchController","changeTimer","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","OutsideController","goThruster","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","RootBorder","rootGrow","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","RootBorder","activateShipRootCollisionBox","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","RootBorder","deactivateShipRootCollisionBox","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","TopLeftButton","cycle","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"escaipe-room-beta-and-final-team-32","GptPromptEngineering","getHint","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"escaipe-room-beta-and-final-team-32","TreeAvatar","flashTree","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
