"Student","Class","Method","IssueType","Details","Source"
"assignment-2-190","Burger","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-74","Drink","print","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-74","Side","print","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-182","Side","printMessage","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-49","Snacks","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-49","Drinks","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-261","Drink1","size1","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-250","Combo","display","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-97","Combo","getDetails; getPrice","Redundant Override","2 methods identical to parent: getDetails; getPrice","AST-detected"
"assignment-2-124","Drink","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-124","Snack","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-242","Combo","getSize","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-6","Burger","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-6","Extra","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-302","Drink","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-302","Snack","getPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
"assignment-2-22","Combo","setPrice","Redundant Override","Identical to parent method with no semantic difference","AST-detected"
