"Student","Class","Method","IssueType","Severity","Details"
"assignment-2-191","Side","setSizePrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-75","BurgerShop","addSnack","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-75","BurgerShop","addDrink","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-180","BurgerShop","addSnack","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-180","BurgerShop","addDrink","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-180","BurgerShop","addCombo","Switch Complexity","HIGH","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-180","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-182","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-184","ItemCart","addSnack","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-184","ItemCart","addDrink","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-184","ItemCart","remove","Switch Complexity","HIGH","Method contains 3 switch(es) with 10 total cases, avg 3.3 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-184","ItemCart; BurgerShop","clearCart","Missing Inheritance","HIGH","Classes define same method but do not share superclass or interface"
"assignment-2-69","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 4 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-62","BurgerShop","addCombo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-61","Cart","calculateEstSec","Switch Complexity","HIGH","Method contains 2 switch(es) with 7 total cases, avg 3.5 cases/switch, pattern: STATE_MACHINE"
"assignment-2-175","Item","SizeCost","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-175","Combo","SizeCost","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-54","Drink","setPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-54","Snack","setPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-53","Order","setCount","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-53","Food","chooseSize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-280","CartItems","setPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-49","BurgerShop; Cart","clearCart; removeItem","Missing Inheritance","HIGH","2 methods shared by classes without common superclass"
"assignment-2-281","BurgerShop","missedCombo","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-161","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-278","BurgerShop","findNewPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-274","Burger","""","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"assignment-2-153","Food","""","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"assignment-2-154","MenuItems","priceWithSize","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-155","Drink","getTrueCost","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-155","Snack","getTrueCost","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-155","BurgerShop","confirmOrder","Switch Complexity","MEDIUM","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
