"Assignment","Class","Method","Antipattern","Confirmed","Explanation","Evidence"
"assignment-2-191","Side","setSizePrice","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `setSizePrice` method exhibits complex logic and has a complexity score of 18.0, which indicates that it is not a simple mapping and involves more than just straightforward case handling. Given that it has complex logic and is not a simple switch with only a few cases, it suggests that the current implementation may be difficult to maintain and extend. Refactoring with polymorphism could simplify the code by encapsulating the behavior associated with each case into separate","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""setSizePrice"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""Side"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 18.0
    }
  ],
  ""avgComplexityScore"": ""18.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": true,
  ""methodSignature"": ""public void setSizePrice()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-75","BurgerShop","addSnack","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `addSnack` method of the `BurgerShop` class exhibits a complexity score of 22.0, which indicates that it contains complex logic despite having only three cases. The presence of mixed content patterns and the suggestion to review for potential polymorphism replacement further highlight that the current implementation may not be optimal. Given that the switch has complex logic and does not follow the typical pattern of simple cases, refactoring with polymorphism could lead to cleaner,","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""addSnack"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""22.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addSnack(String name, float price, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-75","BurgerShop","addDrink","SwitchComplexity","YES","**Answer: YES**: The switch statement in the `addDrink` method exhibits complex logic and a high complexity score of 22.0, which indicates that it may be handling multiple responsibilities or conditions that could be better managed through polymorphism. Given that there are 3 cases and the overall pattern is classified as SIMPLE_DISPATCH, this suggests that the switch is not merely a straightforward mapping but involves more intricate decision-making. Refactoring to use polymorphism could enhance maintainability, readability, and","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""addDrink"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""22.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addDrink(String name, float price, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-180","BurgerShop","addSnack","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `addSnack` method of the `BurgerShop` class exhibits complex logic and has a complexity score of 13.0, which indicates that it is not a simple mapping and involves more than just straightforward case handling. Given that it has complex logic and is not a simple switch with only a few cases, it suggests that the current implementation may be difficult to maintain and extend. Refactoring with polymorphism could simplify the code, improve readability, and","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""addSnack"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 13.0
    }
  ],
  ""avgComplexityScore"": ""13.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addSnack(String name, float price, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-180","BurgerShop","addDrink","SwitchComplexity","YES","**Answer: YES**: The switch statement in the `addDrink` method exhibits complex logic and has a relatively high complexity score of 13.0, which indicates that it may be handling more than just simple case mappings. Given that it has complex logic and is not a simple mapping, it suggests that the switch could benefit from refactoring to use polymorphism. This would enhance maintainability and readability, especially if the logic within the cases is intricate or if the number of cases is expected to","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""addDrink"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""STATE_CHANGE"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 13.0
    }
  ],
  ""avgComplexityScore"": ""13.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""MEDIUM"",
  ""contentPattern"": ""STATE_CHANGE"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addDrink(String name, float price, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-180","BurgerShop","addCombo","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `addCombo` method of the `BurgerShop` class exhibits complex logic, as indicated by the complexity score of 28.0 and the classification as a state machine pattern. Given that the switch has mixed content and is not a simple mapping, it suggests that the logic is not straightforward and may lead to difficulties in maintenance and readability. Refactoring this switch statement using polymorphism, such as implementing the State pattern, would enhance code clarity, reduce","{
  ""overallPattern"": ""STATE_MACHINE"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""State machine pattern detected - consider State pattern"",
  ""methodName"": ""addCombo"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""STATE_MACHINE"",
      ""hasComplexLogic"": true,
      ""caseCount"": 2.0,
      ""complexityScore"": 28.0
    }
  ],
  ""avgComplexityScore"": ""28.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addCombo(String nameBurger, float priceBurger, String nameSnack, float priceSnack, String nameDrink, float priceDrink, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""2.0"",
  ""totalCases"": ""2""
}"
"assignment-2-180","BurgerShop","confirmOrder","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `confirmOrder` method of the `BurgerShop` class exhibits high complexity, as indicated by the complexity score of 17.0 and the presence of complex logic. With a total of 6 cases across 2 switches, the average complexity per switch is also significant. Given that the guidelines suggest that switches with complex logic are likely candidates for refactoring, and considering the suggestion to review for potential polymorphism replacement, it would be prudent to ref","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""confirmOrder"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    },
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 17.0
    }
  ],
  ""avgComplexityScore"": ""17.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void confirmOrder()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""2"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""6""
}"
"assignment-2-182","BurgerShop","confirmOrder","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `confirmOrder` method of the `BurgerShop` class exhibits a complexity score of 22.0, which indicates that it contains complex logic and is not a simple mapping. Given that the switch has mixed content and involves three cases, the complexity is high enough to suggest that it may be beneficial to refactor it using polymorphism. This approach could enhance maintainability and readability by replacing the switch statement with a more flexible design, such as a","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""confirmOrder"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""BurgerShop"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""22.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void confirmOrder()"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-184","ItemCart","addSnack","SwitchComplexity","YES","**Answer: YES**: The switch statement in the `addSnack` method has a complexity score of 22.0 and contains complex logic, which indicates that it is not straightforward and may lead to maintenance challenges. Given that it has mixed content patterns and is not a simple mapping, refactoring with polymorphism could simplify the code structure, enhance readability, and make it easier to extend in the future.","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""addSnack"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""ItemCart"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""22.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addSnack(String snackName, float snackPrice, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
"assignment-2-184","ItemCart","addDrink","SwitchComplexity","YES","**Answer: YES**

The switch statement in the `addDrink` method exhibits complex logic and a high complexity score of 22. Given that it has mixed content patterns and is not a simple mapping, this indicates that the logic within the switch is not straightforward. The presence of complex logic, combined with the suggestion to review for potential polymorphism replacement, suggests that refactoring to use polymorphism could simplify the code and improve maintainability. Additionally, the switch statement has 3 cases, which,","{
  ""overallPattern"": ""SIMPLE_DISPATCH"",
  ""hasObjectCreation"": ""false"",
  ""suggestion"": ""Review for potential polymorphism replacement"",
  ""methodName"": ""addDrink"",
  ""hasComplexLogic"": ""true"",
  ""className"": ""ItemCart"",
  ""switchBreakdown"": [
    {
      ""contentPattern"": ""MIXED"",
      ""isSimpleMapping"": false,
      ""isStringMapping"": false,
      ""hasObjectCreation"": false,
      ""patternType"": ""SIMPLE_DISPATCH"",
      ""hasComplexLogic"": true,
      ""caseCount"": 3.0,
      ""complexityScore"": 22.0
    }
  ],
  ""avgComplexityScore"": ""22.0"",
  ""isConfigurationSwitch"": false,
  ""highestSeverity"": ""HIGH"",
  ""contentPattern"": ""MIXED"",
  ""isGetterSetter"": false,
  ""methodSignature"": ""public void addDrink(String drinkName, float drinkPrice, SIZE size)"",
  ""isEventHandler"": false,
  ""totalSwitches"": ""1"",
  ""avgCasesPerSwitch"": ""3.0"",
  ""totalCases"": ""3""
}"
